Date,Close,High,Low,Open,Volume
11/20/2023,440.3085022,441.1517775,436.6833472,436.6930496,69936200
11/21/2023,439.348938,440.1825406,438.0791737,439.2617057,49244600
11/22/2023,441.0452576,442.3635042,439.9499874,441.0065074,59394900
11/24/2023,441.3166199,441.5104892,440.7641484,441.0937027,29737400
11/27/2023,440.5218506,441.500811,440.1341119,440.6866129,50506000
11/28/2023,440.9580383,442.2568803,439.571964,440.1341379,62115000
11/29/2023,440.6477966,444.2438747,440.2504148,443.1097953,63146000
11/30/2023,442.3828125,442.7317714,439.4167951,441.4910846,79752700
12/1/2023,444.9999084,445.5330048,441.1809132,441.7721644,89183400
12/4/2023,442.6639404,445.0193021,440.3861087,441.6074205,72430900
12/5/2023,442.5766907,443.5362759,440.8998126,441.2778489,69793500
12/6/2023,440.7932129,444.7478931,440.3570217,444.7188156,69124700
12/7/2023,444.1566162,444.8060223,442.2761961,442.8771496,66995400
12/8/2023,446.0661011,446.5991973,443.1679115,443.4102333,83194400
12/11/2023,447.8011475,447.9756417,445.3585535,445.5717979,65002200
12/12/2023,449.8463135,449.9432481,446.4538074,447.4521723,68327600
12/13/2023,456.0497742,456.3017984,449.8657151,450.2243468,93278000
12/14/2023,457.5134277,459.1806035,454.8381846,457.9883692,119026000
12/15/2023,456.7601318,458.0934647,454.9110246,456.9158502,141553700
12/18/2023,459.3294678,460.312427,457.3051884,458.3659919,70375300
12/19/2023,462.1224976,462.2003716,459.7965237,459.874368,55761800
12/20/2023,455.718811,463.1541769,455.290593,461.2661327,102921000
12/21/2023,460.0398865,460.3123862,456.2832518,458.7065537,86667500
12/22/2023,460.964386,462.6480627,459.06663,461.1687533,67160400
12/26/2023,462.9108582,463.8159432,461.2953137,461.3731877,55387000
12/27/2023,463.7478333,463.8938099,462.1712258,462.7064835,68000300
12/28/2023,463.9230042,464.7599569,463.5045278,464.1079178,77158100
12/29/2023,462.5799866,464.2539218,460.62381,463.728376,122283100
1/2/2024,459.9912415,460.9839423,457.8890881,459.5143744,123623700
1/3/2024,456.2346191,458.5703351,455.6312291,457.8306803,103585900
1/4/2024,454.7650146,458.3464475,454.541164,455.7576857,84232200
1/5/2024,455.3879395,457.8404368,453.9378252,454.9694334,86118900
1/8/2024,461.8889771,462.0349537,455.7576897,455.8842127,74879100
1/9/2024,461.1882629,462.2101293,458.7260241,459.2320865,65931400
1/10/2024,463.7964783,464.662656,461.1785211,461.4607625,67310600
1/11/2024,463.5921326,465.3147167,459.6116768,464.7989127,77940700
1/12/2024,463.913269,465.7818595,462.5021216,465.0422048,58026400
1/16/2024,462.210144,463.8451422,460.3902322,462.5313224,85014900
1/17/2024,459.6408691,460.1274779,457.2856699,459.1834558,68843900
1/18/2024,463.728363,464.2831041,459.7673907,461.3148028,91856200
1/19/2024,469.5092773,469.7915187,463.7770421,464.8572992,110834500
1/22/2024,470.5019531,472.2245372,469.8498844,471.0469525,75844900
1/23/2024,471.874176,472.1174804,469.9569663,471.046965,49945300
1/24/2024,472.3900146,475.6794646,471.8936643,474.7451842,81765000
1/25/2024,474.9593506,475.2318503,472.3900717,474.5213908,72525000
1/26/2024,474.3558655,476.0200588,473.5091711,474.5310375,76641600
1/29/2024,478.1124878,478.2584942,474.1223203,474.6673197,61322800
1/30/2024,477.7427063,478.453136,476.9835682,477.4215279,58618400
1/31/2024,469.9472046,475.9811344,469.9277212,475.5334627,126011100
2/1/2024,476.0979614,476.1271568,470.8425637,471.6503508,91891600
2/2/2024,481.1099854,482.764437,476.1952201,476.5358521,99228200
2/5/2024,479.3582458,481.1392504,477.1004039,480.4774697,75757100
2/6/2024,480.749939,481.0808293,478.8716068,480.3022376,55918600
2/7/2024,484.7595825,485.1780589,482.0929467,482.9980614,70556500
2/8/2024,484.9737549,485.3532943,483.9421467,484.7596458,52343600
2/9/2024,487.7766113,488.2145414,485.1391706,485.4798026,63979400
2/12/2024,487.562439,490.014936,486.8422379,487.7473526,56502300
2/13/2024,480.847229,483.7766228,477.5772329,481.2851887,113099200
2/14/2024,485.217041,485.7036498,481.1587111,483.4847151,68387800
2/15/2024,488.5648499,488.7497635,485.4408008,485.9176975,61683000
2/16/2024,486.1318665,489.4018629,485.3922117,488.2632151,75532900
2/20/2024,483.4554749,485.0612776,481.2073451,484.3897552,71736700
2/21/2024,483.8934631,484.0491815,480.3412252,482.1514252,59293400
2/22/2024,493.9078369,494.8713126,489.5478122,490.5113176,76402500
2/23/2024,494.2484436,496.467378,493.5185306,495.6303956,61321800
2/26/2024,492.4382629,495.1243525,492.3117399,494.6863928,50386700
2/27/2024,493.3530884,493.5769391,491.2314816,493.1292674,48854500
2/28/2024,492.7010498,493.2849565,491.4358494,491.7959351,56506600
2/29/2024,494.4722595,496.0878039,491.8153952,494.4625475,83924800
3/1/2024,499.1145325,499.5427505,494.9394511,495.3482155,76844800
3/4/2024,498.5792847,500.4284216,498.2873313,498.3165564,49799300
3/5/2024,493.596405,497.0221494,491.3872122,496.574448,72855600
3/6/2024,496.0975647,498.3554362,494.8031986,496.8761267,68382400
3/7/2024,501.0220032,502.0730945,496.1559166,499.3967469,58652100
3/8/2024,498.014801,504.3406843,497.4406063,501.6546542,86532500
3/11/2024,497.5866089,498.1705453,494.8810656,496.8080468,62557200
3/12/2024,502.9393616,503.5232683,497.1778713,499.6985307,73114400
3/13/2024,502.1509399,503.435594,500.7105972,503.260422,55104100
3/14/2024,501.1583252,503.2799321,498.1121499,503.124184,110171800
3/15/2024,497.717041,499.5426371,496.0476769,498.0880174,107646300
3/18/2024,500.6750488,503.232796,500.2650442,501.7879781,88893300
